category,name,phone,email_or_contact,website,source_url,hook,status
Coaching school,Co-Active Training Institute (CTI),(415) 451-6000 / 800-691-6008,marketing@coactive.com,coactive.com,https://coactive.com/contact/,Tool for their global CPCC coach trainees & alumni,to-do
Coaching school,iPEC Coaching,866-722-6224,admissions@ipeccoaching.com,ipeccoaching.com,https://www.energyleadership.com/contact,Platform for thousands of Energy Leadership coaches,to-do
Coaching body,International Coaching Federation (ICF),888-423-3131,icfheadquarters@coachingfederation.org,coachingfederation.org,https://coachingfederation.org/about/contact-us/,Partner to reach 50k+ member coaches,to-do
Coaching school,The Life Coach School,800-356-1240,theteam@thelifecoachschool.com,thelifecoachschool.com,https://www.thelifecoachschool.com/contact-us,Tool for certified-coach community + podcast audience,to-do
Coaching school,Robbins-Madanes Training,855-850-7111,support@robbinsmadanes.com,rmtcenter.com,https://rmtcenter.com/contact/,Tool for Strategic Intervention coach grads,to-do
Coaching school,Institute for Integrative Nutrition (IIN),877-730-5444,admissions@integrativenutrition.com,integrativenutrition.com,https://www.integrativenutrition.com/contact,Tool for 100k+ health-coach alumni,to-do
Coaching school,Erickson Coaching International,604-879-5600,(web contact form),erickson.edu,https://www.erickson.edu/,Reach Solution-Focused coach graduates,to-do
Coaching school,Coach U,1-800-482-6224,clientsuccess@coachu.com,coachu.com,https://www.coachu.com/contactus/,One of the oldest coach-training alumni bases,to-do
Coaching school,Health Coach Institute,888-822-1284,support@healthcoachinstitute.com,healthcoachinstitute.com,https://healthcoachinstitute.com/,Dual health/life-coach graduates,to-do
Coaching school,Jay Shetty Certification School,—,support@jayshettycoaching.com,jayshettycoaching.com,https://jayshettycoaching.com/,Fast-growing certified-coach cohort,to-do
School counselor assoc,California Assoc of School Counselors (CASC),(909) 815-5222,customerservice@schoolcounselor-ca.org,schoolcounselor-ca.org,https://www.schoolcounselor-ca.org/contact-us,Low-liability self-awareness resource for students,to-do
School counselor assoc,Texas School Counselor Association (TSCA),512-472-3403,info@txca.org,txca.org/tsca,https://www.txca.org/tca/CONTACT2.asp,Student self-awareness resource statewide,to-do
School counselor assoc,New York State School Counselor Assoc (NYSSCA),(937) 969-7722,info@nyssca.org,nyssca.org,https://nyssca.org/,Student self-awareness resource statewide,to-do
School counselor assoc,Florida School Counselor Association (FSCA),(904) 586-1757,fsca@fla-schoolcounselor.org,fla-schoolcounselor.org,https://www.fla-schoolcounselor.org/,Student self-awareness resource statewide,to-do
School counselor assoc,Ohio School Counselor Association (OSCA),(614) 401-4642,osca@ohioschoolcounselor.org,ohioschoolcounselor.org,https://ohioschoolcounselor.org/about,Student self-awareness resource statewide,to-do
School counselor assoc,Pennsylvania School Counselors Assoc (PSCA),412-612-3801,epeiffer@paschoolcounselor.org,paschoolcounselor.org,https://www.paschoolcounselor.org/,Student self-awareness resource statewide,to-do
School counselor assoc,Illinois School Counselor Association (ISCA),—,executivedirector@ilschoolcounselor.org,ilschoolcounselor.org,https://ilschoolcounselor.org/Contact-Us,Student self-awareness resource statewide,to-do
School counselor assoc,Georgia School Counselor Association (GSCA),(770) 971-6002,info@gaschoolcounselor.org,gaschoolcounselor.org,https://www.gaschoolcounselor.org/contact-us,Student self-awareness resource statewide,to-do
University counseling,UCLA CAPS,310-825-0768,info@caps.ucla.edu,counseling.ucla.edu,https://counseling.ucla.edu/contact,Self-awareness resource for students,to-do
University counseling,Ohio State CCS,614-292-5766,(web form),ccs.osu.edu,https://ccs.osu.edu/,Self-awareness resource for students,to-do
University counseling,UT Austin CMHC,512-471-3515,(web form),cmhc.utexas.edu,https://cmhc.utexas.edu/,Self-awareness resource for students,to-do
University counseling,University of Michigan CAPS,734-764-8312,CAPS-UofM@umich.edu,uhs.umich.edu,https://caps.umich.edu/,Self-awareness resource for students,to-do
University counseling,Arizona State University Counseling,(480) 965-6146,(web form),eoss.asu.edu/counseling,https://eoss.asu.edu/counseling,Self-awareness resource for students,to-do
University counseling,University of Florida CWC,352-392-1575,(web form),counseling.ufl.edu,https://counseling.ufl.edu/,Self-awareness resource for students,to-do
University counseling,Penn State CAPS,814-863-0395,(web form),studentaffairs.psu.edu/counseling,https://studentaffairs.psu.edu/counseling,Self-awareness resource for students,to-do
