handle,name,platform,tier,niche,why_fit,status
@the.holistic.psychologist,Dr. Nicole LePera,Instagram,Mega (1M+),Self-healing psychology,Huge self-knowledge audience already primed for a self-reflection tool,to-do
@nedratawwab,Nedra Glover Tawwab,Instagram,Mega (1M+),Boundaries + self-understanding,Boundaries start with knowing yourself — direct fit for the perception gap,to-do
@jillian.turecki,Jillian Turecki,Instagram/TikTok,Mega (1M+),Self-awareness & relationships,"Relationships begin with self-awareness" is literally Mirror's thesis,to-do
@yung_pueblo,Diego Perez,Instagram,Mega (1M+),Poetry on healing & self-awareness,Audience of millions who journal and self-reflect daily,to-do
@morganharpernichols,Morgan Harper Nichols,Instagram,Mega (1M+),Art + self-reflection,Gentle reflective brand voice mirrors Mirror's tone,to-do
@drjuliesmith,Dr. Julie Smith,Instagram/TikTok,Mega (1M+),Practical psychology,Practical mental-health audience wanting concrete tools,to-do
@estherperelofficial,Esther Perel,Instagram,Mega (1M+),Relationships & self-knowledge,Perception-in-relationships angle; long shot but high value,to-do
@glennondoyle,Glennon Doyle,Instagram,Mega (1M+),Self-knowledge & courage,Ties to We Can Do Hard Things pitch; long shot,to-do
@sanctuarywrld,Sanctuary,Instagram,Mega (1M+),Astrology + self-reflection,Gen Z/millennial cosmology-meets-self audience,to-do
@thesecurerelationship,Julie Menanno,Instagram,Mega (1M+),Attachment,How partners perceive each other = the perception gap,to-do
@itsmarkgroves,Mark Groves,Instagram,Large (250k-1M),Human connection,Relationship-of-self content; podcast reach,to-do
@therapyforwomen,Amanda White,Instagram,Large (250k-1M),Therapy,Therapist audience open to between-session tools,to-do
@the.truth.doctor,Dr. Thema Bryant,Instagram,Large (250k-1M),Psychology,APA-past-president credibility; self-understanding focus,to-do
@_lisaolivera,Lisa Olivera,Instagram,Large (250k-1M),Therapist / self-compassion,Self-compassion + becoming-yourself themes,to-do
@vienna_pharaon,Vienna Pharaon,Instagram,Large (250k-1M),Therapist / relationships,"Origin wounds" + self-perception; strong fit,to-do
@yourenneagramcoach,Beth McCord,Instagram,Large (250k-1M),Enneagram,Type-based self-knowledge audience,to-do
@costarastrology,Co-Star,Instagram,Large (250k-1M),Astrology,Data-driven astrology audience; cosmology layer fit,to-do
@enneagramandcoffee,Sarajane Case,Instagram,Large (~500k),Enneagram,Who-am-I vs who-I-appear angle,to-do
@sarajanecase,Sarajane Case,Instagram,Large (~399k),Personal growth + Enneagram,Personal-growth reels; same person alt account,to-do
@chaninicholas,Chani Nicholas,Instagram,Large (250k-1M),Astrology as self-knowledge,Astrology-as-framework audience,to-do
@moonomens,Moon Omens,Instagram,Large (250k-1M),Astrology tools,Self-reflection tools audience,to-do
@nadiaaddesi,Nadia Addesi,TikTok,Large (250k-1M),Therapist,Large TikTok therapy audience,to-do
@stephanie__rigg,Stephanie Rigg,Instagram,Mid (50-250k),Attachment / relationships,Attachment + self-awareness; podcast host,to-do
@thesecurelove,—,Instagram,Mid (50-250k),Attachment,Secure-attachment education audience,to-do
@nate_postlethwait,Nate Postlethwait,Instagram,Mid (50-250k),Self-awareness / emotional patterns,Emotional-pattern recognition = Mirror's core,to-do
@ninetypesco,Steph Barron Hall,Instagram,Mid (~140-240k),Enneagram coach,Personality + self-awareness,to-do
@enneagramenthusiast,Sierra Mackenzie,Instagram,Mid (~109k),Enneagram,Self-perception angle,to-do
@mindfulmft,—,Instagram,Mid (50-250k),Therapist,Mindful therapy audience,to-do
@enneagramashton,Ashton Whitmoyer-Ober,Instagram,Mid (50-250k),Enneagram,Type-based self-knowledge,to-do
@workwithshadow_,—,Instagram,Mid (50-250k),Shadow work,Shadow work = seeing your blind spot; direct fit,to-do
@lindsay.fleminglpc,Lindsay Fleming,TikTok,Mid (50-250k),Therapist,Practical therapist content on TikTok,to-do
@ifrankjames,Frank James,TikTok,Mid (50-250k),MBTI / 16-personalities comedy,Built-in personality-type audience,to-do
